Year;Region;regiao;LU;LU_br;Area;Ind
2017;Northeast;Nordeste;Forest;Florestas;41089877;0.717674973
2017;Northeast;Nordeste;water body;Superfície aquática;517285;0.00903489
2017;Northeast;Nordeste;Other;Outros;153780;0.002685918
2018;Northeast;Nordeste;Shrubs;Vegetação arbustiva ;51766791;0.912016907
2018;Northeast;Nordeste;Herbaceus Vegetation ;Vegetação herbácea;25807600;0.454673104
2018;Northeast;Nordeste;Cropland;Agricultua e Pecuaria ;8341157;0.146952826
2018;Northeast;Nordeste;Build;Urbano;501129;0.00882879
2018;Northeast;Nordeste;Herbaceus Wet;Vegetação umida;1067460;0.018806295
2018;Northeast;Nordeste;Forest;Florestas;41133300;0.724678202
2018;Northeast;Nordeste;water body;Superfície aquática;561420;0.009890985
2018;Northeast;Nordeste;Other;Outros;148743;0.002620524
2019;Northeast;Nordeste;Shrubs;Vegetação arbustiva ;49887696;0.874123886
2019;Northeast;Nordeste;Herbaceus Vegetation ;Vegetação herbácea;26554236;0.465278893
2019;Northeast;Nordeste;Cropland;Agricultua e Pecuaria ;8966362;0.157107099
2019;Northeast;Nordeste;Build;Urbano;502220;0.008799815
2019;Northeast;Nordeste;Herbaceus Wet;Vegetação umida;1194323;0.020926728
2019;Northeast;Nordeste;Forest;Florestas;41483367;0.726864636
2019;Northeast;Nordeste;water body;Superfície aquática;596047;0.010443836
2019;Northeast;Nordeste;Other;Outros;143349;0.002511737
2015;North;Norte;Shrubs;Vegetação arbustiva ;6082391;0.348109524
2015;North;Norte;Herbaceus Vegetation ;Vegetação herbácea;14332973;0.820309712
2015;North;Norte;Cropland;Agricultua e Pecuaria ;1218170;0.06971873
2015;North;Norte;Build;Urbano;199434;0.011414076
2015;North;Norte;Herbaceus Wet;Vegetação umida;3375897;0.193210515
2015;North;Norte;Forest;Florestas;270769431;15.49677055
2015;North;Norte;water body;Superfície aquática;4624775;0.264686736
2015;North;Norte;Other;Outros;17505029;1.001853927
2016;North;Norte;Shrubs;Vegetação arbustiva ;6050313;0.341675353
2016;North;Norte;Herbaceus Vegetation ;Vegetação herbácea;14187609;0.801207526
2016;North;Norte;Cropland;Agricultua e Pecuaria ;1239224;0.069981883
2016;North;Norte;Build;Urbano;200692;0.011333548
2016;North;Norte;Herbaceus Wet;Vegetação umida;4004813;0.226161174
2016;North;Norte;Forest;Florestas;271080709;15.30856285
2016;North;Norte;water body;Superfície aquática;4493153;0.253738879
2016;North;Norte;Other;Outros;16811287;0.94937277
2017;North;Norte;Shrubs;Vegetação arbustiva ;6025126;0.335919853
2017;North;Norte;Herbaceus Vegetation ;Vegetação herbácea;13957391;0.778168744
2017;North;Norte;Cropland;Agricultua e Pecuaria ;1283292;0.071547592
2017;North;Norte;Build;Urbano;200861;0.011198637
2017;North;Norte;Herbaceus Wet;Vegetação umida;4364633;0.24334211
2017;North;Norte;Forest;Florestas;270659102;15.09010197
2017;North;Norte;water body;Superfície aquática;4513758;0.251656301
2017;North;Norte;Other;Outros;16688937;0.930461083
2018;North;Norte;Shrubs;Vegetação arbustiva ;5998205;0.329893386
2018;North;Norte;Herbaceus Vegetation ;Vegetação herbácea;13799515;0.758955175
2018;North;Norte;Cropland;Agricultua e Pecuaria ;1324377;0.072838993
2018;North;Norte;Build;Urbano;201372;0.011075195
2018;North;Norte;Herbaceus Wet;Vegetação umida;4734255;0.260377798
2018;North;Norte;Forest;Florestas;270502332;14.87727247
2018;North;Norte;water body;Superfície aquática;4558542;0.250713814
2018;North;Norte;Other;Outros;16382802;0.901032562
2019;North;Norte;Shrubs;Vegetação arbustiva ;5986643;0.324814144
2019;North;Norte;Herbaceus Vegetation ;Vegetação herbácea;13741409;0.74556041
2019;North;Norte;Cropland;Agricultua e Pecuaria ;1342606;0.072845068
2019;North;Norte;Build;Urbano;201809;0.010949445
2019;North;Norte;Herbaceus Wet;Vegetação umida;4830312;0.262075701
2019;North;Norte;Forest;Florestas;270452595;14.67380438
2019;North;Norte;water body;Superfície aquática;4624775;0.250923988
2019;North;Norte;Other;Outros;16515351;0.896064724
